id,brand,name,price,price_promo
168911274,Jony Jenson,Рубашка женская оверсайз летняя,5563,1023
161178722,CnScollection,Блузка,6800,2284
46532422,Algo,Теплая рубашка оверсайз в клетку,7900,2148
156091667,CamoMilli,Блузка нарядная с длинным рукавом,2879,990
166820394,LADY OF THE MOON,Блузка офисная с коротким рукавом,3950,568
28923879,A-A Awesome Apparel by Ksenia Avakyan,Блузка базовая,3750,420
41129450,Адель Очаровательная,Рубашка оверсайз,3440,1320
181664208,JA&VI,Нарядная блузка на запах праздничная,11690,3086
146608492,Adele,Рубашка оверсайз больших размеров вельветовая,3440,1100
171385283,SEZONI,Блузка с коротким рукавом,2800,604
173702745,SOMBRA,Хлопковое боди с коротким рукавом из ткани пенье,4400,1126
54219825,Black Raccoon Store,Боди лонгслив в сетку с длинным рукавом,1490,607
44179905,Adele,Рубашка оверсайз больших размеров вельветовая,3440,1348
76883592,DiA Clothes,Блузка белая с коротким рукавом,2100,924
171767044,O'STIN,Классическая женская рубашка,2299,809
166924906,TALIA,Блузка офисная шифоновая,5750,1840
151940523,Bella Belle,Блузка офисная больших размеров,6500,936
94102466,AN STORE,Рубашка с объемными рукавами,4075,880
163309893,MAGIC PEOPLE,Блузка офисная легкая,2290,916
33669955,Comienzo,Рубашка хлопок летняя,6700,1822
111659473,ТВОЕ,Летняя женская блузка с глубоким вырезом на груди,1699,254
175711753,MY МОДА,Рубашка оверсайз блузка школьная офисная,4500,1512
57943552,Moon Rose,Рубашка хлопок школьная,3699,1479
185784313,MLNtm,рубашка с пайетками,5000,1200
108157395,LOVCLOT,Блузка боди с длинным рукавом в рубчик,5000,1160
164405795,Janar,Блузка нарядная больших размеров,2500,318
168169090,Kapshoping,рубашка корсет белая,3000,1224
173582759,MY МОДА,Блузка праздничная нарядная,5199,998
76191345,Malozemoff,Рубашка офисная приталенная,2618,586
161395059,Regina Alexa,Рубашка свободная для офиса домашняя,1500,588
5941197,MAGIC PEOPLE,Блузка белая офисная с коротким рукавом,2700,885
173171966,BRAVO GROUP,Рубашка классическая с коротким рукавом,5000,680
169314802,SEZONI,Блузка офисная,7900,1011
119916794,ALAN D,Рубашка оверсайз теплая в клетку длинная,4900,823
167573737,United Colors of Benetton,Рубашка из поплина,4599,2276
78162357,Darya Vorobyova Дарья Воробьева,Блузка офисная нарядная,3026,944
57986353,Anna Vorobyeva,Рубашка кожаная теплая оверсайз,6250,2650
190151884,OHAYA,Рубашка оверсайз в клетку фланелевая серая,5700,1778
16105677,la selva,Нарядная блузка шелковая офисная,8600,3096
40759386,Moremio,Блузка боди водолазка с длинным рукавом с принтом,4620,1182
173164024,Fileo,Офисная блузка с короткими рукавами,10699,1283
134480664,MAILLIV FASHION,Рубашка в клетку оверсайз теплая,4328,1177
173703418,SOMBRA,Хлопковое боди с коротким рукавом из ткани пенье,4400,1126
166652355,Gloria Jeans,Белая укороченная рубашка loose,2499,799
165803236,ENEVOO,Рубашка оверсайз с длинным рукавом офисная,12487,899
180161786,MOSS,Рубашка удлиненная офисная оверсайз,4300,928
188575430,MILASTOCHKA,Рубашка оверсайз фланелевая в клетку,5590,1788
154476949,Office Woman,Рубашка классическая приталенная в офис,2040,620
186853378,dliwlid,Рубашка оверсайз блестящая с пайетками,5100,1999
147936429,LOVE REPUBLIC,Блузка укороченная вечерняя офисная рубашка,4099,819
149158684,NAOX,Блузка праздничная с широкими рукавами,3700,1095
168070755,Zolla,Блузка женская,1399,559
162256780,MB,Блузка нарядная офисная,1518,412
112514581,Vatum,Рубашка белая оверсайз шелковая,6490,1090
159137937,H&M,Блузка,4360,418
167918784,Concept Club,Рубашка в полоску,3148,780
175932057,More&Trend,Рубашка шелковая с длинным рукавом,5142,1727
175075200,Северная Лагуна,Рубашка удлиненная офисная с принтом,5200,1456
14255960,BAWER,Рубашка офисная однотонная Slim fit,7500,1920
130459437,ТЫ IDEAL,Блузка офисная нарядная на резинке,3000,408
165090486,WITH STREET,Блузка с длинным рукавом больших размеров,2520,1229
174730589,LADY OF THE MOON,Блузка офисная с длинным рукавом,5875,987
166801099,Look at you,Рубашка голубая с полосками оверсайз,3530,1129
171325064,ТВОЕ,Рубашка женская с большими нагрудными карманами,2299,1011
178167305,Concept Club,Рубашка прямого силуэта с планкой и накладным карманом,3577,887
181064368,Kilarta Buna,Блузка нарядная с рукавами фонариками офисная,20010,1600
178290328,Finn Flare,"Блузка, рубашка трикотажная в полоску",6599,2375
143790550,CHPAY,Блузка женская праздничная шелковая с перьями,5999,2255
105253836,Рубашка Рич - rubashka.rich,Рубашка в клетку женская оверсайз теплая,7521,1203
162665801,Bella Belle,Блузка нарядная больших размеров,6500,1040
175947199,bekaims,Рубашка в клетку теплая оверсайз с воланом,3700,1480
166626666,AJUTOR,Блузка - рубашка нарядная с коротким рукавом три четверти,17000,2040
176406881,Befree,Рубашка домашняя из бархатной ткани,2999,1607
163438666,Crewton,"Рубашка с длинным рукавом, блузка офисная",1992,812
139500681,Glumoda,Блузка боди с длинным рукавом,3050,1049
168461485,noskino,Рубашка оверсайз белая хлопок,7000,1120
170073179,FUNDAY,Блузка,899,278
