id,brand,name,price,price_promo
165567935,FUNDAY,Женская короткая хлопковая рубашка с принтом,1199,479
144339505,BETRENDY WEAR,Рубашка оверсайз в клетку,4723,1586
141238390,Fa-style,Рубашка женская легкий оверсайз,6000,768
165365479,Gloria Jeans,Белая рубашка oversize с воротником,2499,479
169609285,Bella Mia,Рубашка удлиненная больших размеров леопард,5100,1876
170389877,Camicia,Блузка нарядная офисная,4742,910
149781676,SF SELFIE,Рубашка оверсайз классическая,5590,939
174937502,LADY OF THE MOON,Блузка офисная с длинным рукавом,5875,987
152575299,Iskrenne,Рубашка оверсайз длинная черная,8144,1628
166937451,Zolla,Рубашка женская,1799,719
138547626,Gloria Jeans,Рубашка oversize из фланели в клетку,2499,799
123815598,LOVCLOT,Блузка боди,5000,1240
36601548,Diona,Рубашка,3400,816
33998099,ZHUKOVA CARE,Белая рубашка оверсайз офисная и в школу блузка,5607,986
96698161,BE BLESSED,Рубашка Теплая в Клетку Оверсайз,6400,1331
176548656,OMF.brand,Рубашка оверсайз удлиненная,5100,1305
180031982,SOLEIL you,Рубашка шелковая оверсайз атласная в офис,10000,1920
45952823,Alessa,Рубашка офисная осенняя хлопок,7935,1269
175551690,Aree clothes,Рубашка повседневная нарядная легкая удлиненная вельветовая,7999,959
182586592,ZARINA,Боди с вырезом с длинным рукавом базовое,1799,561
169346392,FUNDAY,Блузка текстильная демисезонная с длинным рукавом,1499,647
96379346,LOVCLOT,Блузка боди,5000,1160
176260767,Apparelle,Рубашка корсетного типа с длинным рукавом,5714,1371
195813024,L&H fashion,Блузка боди с длинным рукавом вечернее утягивающее,3500,1568
170857052,Camicia,Блузка нарядная,5030,563
169793967,JOY LOLA,Рубашка оверсайз больших размеров,4925,1576
166896510,Gloria Jeans,Чёрная свободная блузка с принтом,1999,719
173290968,LaOla-style,Рубашка классическая офисная оверсайз,7336,1173
166896619,Gloria Jeans,Молочная свободная блузка с принтом,1999,719
96113127,Beige Island,Рубашка оверсайз с объемными рукавами фонариками,3390,1356
139638816,Iho wear,Блузка нарядная с длинным рукавом офисная,3500,560
189535314,MilAni,Рубашка белая твидовая оверсайз,4900,2548
114324940,ANNEN,Блузка нарядная с широкими рукавами,5300,1441
171171105,TIHEYA,Рубашка блузка оверсайз шелковая нарядная в школу в офис,2490,1673
111089894,Say Love,Рубашка оверсайз офисная школьная с боковыми пуговицами,5600,851
73397454,AAilin,Блузка офисная нарядная без рукавов,2200,440
181587655,MOVATTY,Блузка нарядная с длинным рукавом офисная школьная,4945,1305
67523754,Moon Rose,Блузка оверсайз атласная нарядная,3899,1559
169793968,JOY LOLA,Рубашка оверсайз больших размеров,4750,1520
138764887,Mil&Ti design,Рубашка теплая оверсайз,8000,1920
177882229,Ayclo,Рубашка черная шелковая оверсайз с рукавом для офиса и школы,10000,1200
160036300,UNIQUE WOMEN'S CLOTHING,Рубашка оверсайз белая,2500,600
191262820,Chiffon,Блузка вечерняя с длинным рукавом,4730,1551
166816087,LADY OF THE MOON,Блузка офисная с длинным рукавом,6100,1073
170760938,Lumière Elégante,Блузка офисная с длинным рукавом нарядная,3020,1135
165288252,GOLDMOON STORE,Рубашка оверсайз белая хлопок,5500,968
102248012,Elimi,Рубашка белая оверсайз блузка офисная с длинным рукавом,4640,1113
154536447,POST DATON,Офисная школьная блузка летняя,5247,839
170108399,O'STIN,Свободная женская хлопковая рубашка оверсайз,2599,1122
169582274,AVAGURA,блузка из вискозы,2400,979
65853235,AAilin,Блузка офисная нарядная больших размеров,2200,528
159281540,SINISTRA,Базовая блузка офисная под пиджак в школу,3900,967
151538752,Merandi,Блузка школьная офисная без рукавов,3000,768
180082538,MPX women,Блузка с длинным рукавом,3850,985
175706817,AIDEMI,Блузка праздничная офисная,3000,912
128560149,TIHEYA,Рубашка блузка оверсайз шелковая нарядная в школу в офис,2490,1673
91094806,ArDanix,блузка офисная повседневная,4000,1248
175144363,NORE MORE,Блузка офисная с длинным рукавом,2900,765
162410566,ANNEN,Блузка с бантом атласная нарядная,4900,1293
106361595,Mil&Ti design,Рубашка теплая оверсайз,8000,1728
158372132,VAW,Рубашка розовая оверсайз хлопок,6000,1584
167872377,NK Market,блузка леопардовая праздничная вечерняя,6500,1248
115457421,Harizmic,Рубашка оверсайз в клетку,5499,1891
